date,hour,stationName,lineNm,stnCd,stnNo,trnscdSeCd,trnscdSeCdNm,trnscdUserSeCd,trnscdUserSeCdNm,rideNope,gffNope,totalNope
2026-02-25,00,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,01,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,02,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,03,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,04,서울숲역,분당선,,,,전체,,전체,98,1,99
2026-02-25,05,서울숲역,분당선,,,,전체,,전체,2546,590,3136
2026-02-25,06,서울숲역,분당선,,,,전체,,전체,4878,4824,9702
2026-02-25,07,서울숲역,분당선,,,,전체,,전체,12840,20359,33199
2026-02-25,08,서울숲역,분당선,,,,전체,,전체,21403,44353,65756
2026-02-25,09,서울숲역,분당선,,,,전체,,전체,14169,31769,45938
2026-02-25,10,서울숲역,분당선,,,,전체,,전체,8086,23421,31507
2026-02-25,11,서울숲역,분당선,,,,전체,,전체,8252,17454,25706
2026-02-25,12,서울숲역,분당선,,,,전체,,전체,9741,17279,27020
2026-02-25,13,서울숲역,분당선,,,,전체,,전체,11943,20184,32127
2026-02-25,14,서울숲역,분당선,,,,전체,,전체,13956,19275,33231
2026-02-25,15,서울숲역,분당선,,,,전체,,전체,18860,19006,37866
2026-02-25,16,서울숲역,분당선,,,,전체,,전체,25246,18281,43527
2026-02-25,17,서울숲역,분당선,,,,전체,,전체,41178,18828,60006
2026-02-25,18,서울숲역,분당선,,,,전체,,전체,51846,26101,77947
2026-02-25,19,서울숲역,분당선,,,,전체,,전체,24905,16474,41379
2026-02-25,20,서울숲역,분당선,,,,전체,,전체,16221,8515,24736
2026-02-25,21,서울숲역,분당선,,,,전체,,전체,15297,7689,22986
2026-02-25,22,서울숲역,분당선,,,,전체,,전체,10124,6957,17081
2026-02-25,23,서울숲역,분당선,,,,전체,,전체,2398,3514,5912
