status_code,status_message,status_totalCount,subwayLine,stationName,stationCode,gender,ageGrp,exit,userCount,datetime,date,hour
00,success,1,2호선,뚝섬역,210,all,all,1,38,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,1,20,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,1,0,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,1,6,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,1,14,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,1,10,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,1,14,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,1,16,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,1,24,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,1,42,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,1,27,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,1,6,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,1,6,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,1,8,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,1,6,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,2,0,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,2,9,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,2,21,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,2,35,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,2,37,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,2,12,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,2,11,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,2,11,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,2,6,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,2,0,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,2,16,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,2,14,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,2,33,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,2,50,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,2,12,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,2,18,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,2,10,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,2,6,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,2,6,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,3,10,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,3,35,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,3,54,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,3,148,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,3,93,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,3,36,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,3,29,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,3,25,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,3,37,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,3,8,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,3,8,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,3,39,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,3,48,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,3,53,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,3,57,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,3,22,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,3,31,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,3,18,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,3,10,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,4,19,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,4,79,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,4,283,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,4,1040,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,4,740,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,4,328,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,4,183,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,4,231,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,4,225,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,4,310,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,4,293,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,4,367,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,4,510,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,4,793,20260225180000,2026-02-25,18
00,success,1,2호선,뚝섬역,210,all,all,4,507,20260225190000,2026-02-25,19
00,success,1,2호선,뚝섬역,210,all,all,4,296,20260225200000,2026-02-25,20
00,success,1,2호선,뚝섬역,210,all,all,4,219,20260225210000,2026-02-25,21
00,success,1,2호선,뚝섬역,210,all,all,4,180,20260225220000,2026-02-25,22
00,success,1,2호선,뚝섬역,210,all,all,4,55,20260225230000,2026-02-25,23
00,success,1,2호선,뚝섬역,210,all,all,5,12,20260225050000,2026-02-25,05
00,success,1,2호선,뚝섬역,210,all,all,5,142,20260225060000,2026-02-25,06
00,success,1,2호선,뚝섬역,210,all,all,5,723,20260225070000,2026-02-25,07
00,success,1,2호선,뚝섬역,210,all,all,5,2133,20260225080000,2026-02-25,08
00,success,1,2호선,뚝섬역,210,all,all,5,1281,20260225090000,2026-02-25,09
00,success,1,2호선,뚝섬역,210,all,all,5,527,20260225100000,2026-02-25,10
00,success,1,2호선,뚝섬역,210,all,all,5,359,20260225110000,2026-02-25,11
00,success,1,2호선,뚝섬역,210,all,all,5,407,20260225120000,2026-02-25,12
00,success,1,2호선,뚝섬역,210,all,all,5,533,20260225130000,2026-02-25,13
00,success,1,2호선,뚝섬역,210,all,all,5,547,20260225140000,2026-02-25,14
00,success,1,2호선,뚝섬역,210,all,all,5,555,20260225150000,2026-02-25,15
00,success,1,2호선,뚝섬역,210,all,all,5,760,20260225160000,2026-02-25,16
00,success,1,2호선,뚝섬역,210,all,all,5,1370,20260225170000,2026-02-25,17
00,success,1,2호선,뚝섬역,210,all,all,5,1876,20260225180000,2026-02-25,18
