date,hour,stationName,lineNm,stnCd,stnNo,trnscdSeCd,trnscdSeCdNm,trnscdUserSeCd,trnscdUserSeCdNm,rideNope,gffNope,totalNope
2026-02-25,19,성수역,2호선,0211,211,2,후불카드,02,어린이,2,0,2
2026-02-25,19,성수역,2호선,0211,211,2,후불카드,01,일반,3349,961,4310
2026-02-25,19,성수역,2호선,0211,211,1,선불카드,99,기타,9,7,16
2026-02-25,19,성수역,2호선,0211,211,1,선불카드,100,우대권,179,126,305
2026-02-25,19,성수역,2호선,0211,211,1,선불카드,04,청소년,252,61,313
2026-02-25,19,성수역,2호선,0211,211,1,선불카드,03,중고생,1,0,1
2026-02-25,19,성수역,2호선,0211,211,1,선불카드,02,어린이,22,4,26
2026-02-25,19,성수역,2호선,0211,211,1,선불카드,01,일반,3076,824,3900
2026-02-25,18,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,20,10,30
2026-02-25,18,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,16,5,21
2026-02-25,18,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,34,3,37
2026-02-25,18,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,11,2,13
2026-02-25,18,성수역,2호선,0211,211,C,1회용교통카드,11,일반,25,6,31
2026-02-25,18,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,16,7,23
2026-02-25,18,성수역,2호선,0211,211,B,정기권카드,01,일반,14,2,16
2026-02-25,18,성수역,2호선,0211,211,2,후불카드,100,우대권,52,13,65
2026-02-25,18,성수역,2호선,0211,211,2,후불카드,04,청소년,93,43,136
2026-02-25,18,성수역,2호선,0211,211,2,후불카드,02,어린이,1,5,6
2026-02-25,18,성수역,2호선,0211,211,2,후불카드,01,일반,6223,1702,7925
2026-02-25,18,성수역,2호선,0211,211,1,선불카드,99,기타,23,17,40
2026-02-25,18,성수역,2호선,0211,211,1,선불카드,100,우대권,396,178,574
2026-02-25,18,성수역,2호선,0211,211,1,선불카드,04,청소년,278,97,375
2026-02-25,18,성수역,2호선,0211,211,1,선불카드,02,어린이,28,21,49
2026-02-25,18,성수역,2호선,0211,211,1,선불카드,01,일반,5514,1667,7181
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,44,영어 어린이,1,0,1
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,13,14,27
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,14,4,18
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,24,14,38
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,8,4,12
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,11,일반,15,17,32
2026-02-25,17,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,6,4,10
2026-02-25,17,성수역,2호선,0211,211,B,정기권카드,01,일반,7,0,7
2026-02-25,17,성수역,2호선,0211,211,2,후불카드,100,우대권,30,19,49
2026-02-25,17,성수역,2호선,0211,211,2,후불카드,04,청소년,95,50,145
2026-02-25,17,성수역,2호선,0211,211,2,후불카드,02,어린이,0,0,0
2026-02-25,17,성수역,2호선,0211,211,2,후불카드,01,일반,3605,1397,5002
2026-02-25,17,성수역,2호선,0211,211,1,선불카드,99,기타,12,27,39
2026-02-25,17,성수역,2호선,0211,211,1,선불카드,100,우대권,344,176,520
2026-02-25,17,성수역,2호선,0211,211,1,선불카드,04,청소년,254,164,418
2026-02-25,17,성수역,2호선,0211,211,1,선불카드,03,중고생,3,0,3
2026-02-25,17,성수역,2호선,0211,211,1,선불카드,02,어린이,31,21,52
2026-02-25,17,성수역,2호선,0211,211,1,선불카드,01,일반,3402,1310,4712
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,4,2,6
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,20,17,37
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,15,17,32
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,5,8,13
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,7,15,22
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,11,일반,10,15,25
2026-02-25,16,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,12,10,22
2026-02-25,16,성수역,2호선,0211,211,B,정기권카드,01,일반,3,0,3
2026-02-25,16,성수역,2호선,0211,211,2,후불카드,100,우대권,30,18,48
2026-02-25,16,성수역,2호선,0211,211,2,후불카드,04,청소년,93,90,183
2026-02-25,16,성수역,2호선,0211,211,2,후불카드,01,일반,2024,1683,3707
2026-02-25,16,성수역,2호선,0211,211,1,선불카드,99,기타,14,18,32
2026-02-25,16,성수역,2호선,0211,211,1,선불카드,100,우대권,375,232,607
2026-02-25,16,성수역,2호선,0211,211,1,선불카드,04,청소년,245,210,455
2026-02-25,16,성수역,2호선,0211,211,1,선불카드,03,중고생,1,1,2
2026-02-25,16,성수역,2호선,0211,211,1,선불카드,02,어린이,20,14,34
2026-02-25,16,성수역,2호선,0211,211,1,선불카드,01,일반,1953,1512,3465
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,3,1,4
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,44,영어 어린이,0,2,2
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,26,17,43
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,26,13,39
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,12,13,25
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,11,4,15
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,11,일반,9,12,21
2026-02-25,15,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,11,9,20
2026-02-25,15,성수역,2호선,0211,211,B,정기권카드,01,일반,3,0,3
2026-02-25,15,성수역,2호선,0211,211,2,후불카드,100,우대권,25,18,43
2026-02-25,15,성수역,2호선,0211,211,2,후불카드,04,청소년,60,106,166
