storeId,storeNm,road_address,site_address,floor,category_bg,category_mi,category_sl,x,y,fam_미혼,fam_기혼,fam_유자녀,gender_f_20대,gender_f_30대,gender_f_40대,gender_f_50대,gender_f_60대,gender_m_20대,gender_m_30대,gender_m_40대,gender_m_50대,gender_m_60대,peco_개인,peco_법인,peco_외국인,times_아침,times_점심,times_오후,times_저녁,times_밤,times_심야,times_새벽,wdwe_평일,wdwe_공휴일,revfreq_평일,revfreq_공휴일,weekday_월,weekday_화,weekday_수,weekday_목,weekday_금,weekday_토,weekday_일,2018_store,2018_deli,2018_cnt,2019_store,2019_deli,2019_cnt,2020_store,2020_deli,2020_cnt,2021_store,2021_deli,2021_cnt,2022_store,2022_deli,2022_cnt,2023_store,2023_deli,2023_cnt,2024_store,2024_deli,2024_cnt,2025_store,2025_deli,2025_cnt
0133758482,브로트704(BROT 704),서울특별시 성동구 뚝섬로 312,서울 성동구 성수1가1동 704번지 한진타운아파트 1층 114호,,음식,제과제빵떡케익,제과제빵떡케익,127.0456278,37.5412391,147,28,523,30,92,168,86,127,1,83,53,25,32,700,76,0,21,455,182,103,13,0,0,22,28,23.6,23.6,0,0,44,0,39,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,537,10556,0,9768,8050,0,7017
0078952629,린지네일,서울특별시 성동구 금호로 102,서울 성동구 금호동1가 633번지 벽산아파트 106호 벽산복지상가,,소매,화장품 소매,화장품 판매,127.0262725,37.5516097,43,87,54,0,131,0,54,0,0,0,0,0,0,186,0,0,0,54,87,43,0,0,0,2,10,66.7,0.0,0,10,0,0,17,13,0,4624,0,368,5635,0,407,4451,0,355,4779,0,450,4258,0,520,4701,0,414,3048,0,222,2249,0,163
0129348744,아띠엠헤어Attiem hair,서울특별시 성동구 성수일로 10,서울 성동구 성수동1가 72-8번지 1층 105호 (성수동1가.서울숲ITCT지식산업센터),,서비스,헤어/이발/미용,미용실,127.0488277,37.5412784,893,22,737,3,139,286,34,28,135,640,369,15,0,1653,0,0,4,647,468,237,295,0,0,85,9,57.1,9.5,78,65,29,64,101,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,161,12100,0,2379,11018,0,2034,9303,0,1542
0135911154,(주)한섬 KITH 성수점,서울특별시 성동구 연무장길 70,서울 성동구 성수동2가 322-5번지,,소매,의복,일상복 판매,127.0570189,37.5417872,2807,226,4403,725,1146,1365,458,453,287,953,1268,571,206,7436,1756,104072.0,0,6297,2218,677,0,0,0,226,393,7.0,6.2,96,343,241,349,317,335,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587509,0,45091,879712,0,46628
0110946548,군산복집,서울특별시 성동구 광나루로 303-13,서울 성동구 송정동 67-8번지 1층,1층,음식,수산물,회/수산물 일반,127.0634987,37.5485201,0,0,351,0,0,0,18,89,0,0,37,114,90,351,516,0,0,557,18,291,0,0,0,45,3,35.0,25.0,46,64,15,39,19,12,0,4153,0,930,16858,0,3643,12408,0,3052,13553,0,3567,13855,0,3474,17276,0,3529,12828,0,2409,8748,0,1820
0073099723,주식회사 상하팩토리,서울특별시 성동구 성수이로24길 38,서울 성동구 성수2가3동 277-40번지 센츄리프라자 지하 101호,,소매,안경점,안경점,127.0621023,37.5439766,0,0,1747,0,0,549,109,0,0,279,370,438,0,1747,0,0,877,480,389,0,0,0,0,97,0,28.6,0.0,41,0,32,205,77,0,0,28702,0,633,56200,0,782,40611,0,451,39373,0,497,24815,0,325,25379,0,276,42906,0,418,25411,0,368
0016926065,맥스치킨,서울특별시 성동구 왕십리로4길 23-1,서울 성동구 성수동1가 656-309번지,,음식,치킨/닭강정,치킨/닭강정 전문점,127.0463561,37.5469691,1394,111,1046,137,367,82,235,114,283,581,326,190,234,2552,368,0,0,0,78,615,811,1134,279,118,61,19.5,17.1,58,168,138,110,74,78,21,6344,0,2035,11599,0,3618,10854,0,3138,12108,341,3590,19650,2627,5895,30454,341,6745,35725,0,7266,27947,0,5506
0106994676,살롱드아월,서울특별시 성동구 아차산로 50-1,서울 성동구 성수1가2동 14-62번지 1층,,서비스,헤어/이발/미용,미용실,127.0497804,37.5462413,45,37,249,0,76,108,0,77,0,5,50,2,11,332,0,0,0,26,81,24,200,0,0,14,4,60.0,6.7,20,3,12,6,19,0,9,4814,0,1958,7073,0,2274,5549,0,1761,10680,0,2352,6996,0,1594,6218,0,1702,4107,0,1247,2310,0,800
0130679525,주식회사 기버트리,서울특별시 성동구 서울숲4길 22-7,서울 성동구 성수동1가 668-53번지 지하1층,,음식,양식,스테이크 전문점,127.0432847,37.5469825,506,36,493,231,257,147,115,47,60,51,24,73,27,1036,0,0,0,431,227,376,1,0,0,16,56,0.0,9.5,0,12,60,20,20,67,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26817,0,7022,49380,0,12494,25299,0,6332
0088858584,뽀식이네,서울특별시 성동구 아차산로17길 14-1,서울 성동구 성수동2가 19-22번지 1층,1층,음식,한식,한정식/백반 전문점,127.0641547,37.5435687,35,0,56,0,0,0,5,0,23,17,32,12,0,92,1191,0,3,1274,5,0,0,0,0,70,0,25.0,25.0,4,61,4,194,4,0,0,4694,0,1832,9709,0,3314,7105,0,1792,9305,0,2589,9056,0,2151,16121,0,1413,22224,0,1481,13221,0,1322
