wkt_geom,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
Point (127.04396280000000274 37.55050751999999648),100100583,121,39,103000087,4186,성동교남단.서울숲리버포레,127.0439628,37.55050752
Point (127.04453300000000127 37.54649299999999812),100100583,121,40,103000081,4180,성동구민종합체육센터,127.044533,37.546493
Point (127.04450099999999679 37.5430640000000011),100100583,121,41,103000079,4178,서울숲역3번출구,127.044501,37.543064
Point (127.04269499999999482 37.54222200000000242),100100583,121,42,103000163,4265,서울숲1번출입구,127.042695,37.542222
Point (127.0363969999999938 37.54567200000000327),100100583,121,43,103000122,4223,뚝섬서울숲,127.036397,37.545672
Point (127.03756500000000074 37.54345699999999653),100100583,121,44,103000162,4264,뚝섬서울숲,127.037565,37.543457
Point (127.04297440000000563 37.54197811000000229),100100583,121,45,103000164,4266,서울숲1번출입구,127.0429744,37.54197811
Point (127.04469199999999773 37.54295799999999872),100100583,121,46,103000078,4177,서울숲역2번출구,127.044692,37.542958
Point (127.04489610000000255 37.54607196999999985),100100583,121,47,103000080,4179,성동구민종합체육센터,127.0448961,37.54607197
Point (127.04445660000000373 37.54951635999999837),100100583,121,48,103000086,4185,성동교남단.서울숲리버포레,127.0444566,37.54951636
Point (127.0363969999999938 37.54567200000000327),100100020,141,34,103000122,4223,뚝섬서울숲,127.036397,37.545672
Point (127.03660120000000688 37.54461804000000313),100100020,141,73,103000121,4222,뚝섬서울숲,127.0366012,37.54461804
Point (127.0363969999999938 37.54567200000000327),100100024,145,36,103000122,4223,뚝섬서울숲,127.036397,37.545672
Point (127.03660120000000688 37.54461804000000313),100100024,145,65,103000121,4222,뚝섬서울숲,127.0366012,37.54461804
Point (127.06666289999999719 37.54727766999999972),100100025,146,50,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06415300000000457 37.54282500000000056),100100025,146,51,103000109,4208,성수사거리.성수초등학교,127.064153,37.542825
Point (127.06327500000000441 37.54126300000000072),100100025,146,52,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),100100025,146,53,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),100100025,146,54,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.0363969999999938 37.54567200000000327),100100027,148,24,103000122,4223,뚝섬서울숲,127.036397,37.545672
Point (127.03660120000000688 37.54461804000000313),100100027,148,61,103000121,4222,뚝섬서울숲,127.0366012,37.54461804
Point (127.06433730000000537 37.54823912999999891),100100186,2012,43,103000114,4213,성동세무서,127.0643373,37.54823913
Point (127.05683700000000158 37.54934800000000195),100100186,2012,44,103000112,4211,제인병원,127.056837,37.549348
Point (127.05478200000000299 37.55023742000000198),100100186,2012,45,103000167,4269,성수2가3동주민센터,127.054782,37.55023742
Point (127.05069050000000175 37.55123019999999912),100100186,2012,46,103000153,4255,리버하우스,127.0506905,37.5512302
Point (127.04666199999999776 37.55174800000000346),100100186,2012,47,103000089,4188,상원,127.046662,37.551748
Point (127.04604999999999393 37.55143999999999949),100100186,2012,69,103000088,4187,상원,127.04605,37.55144
Point (127.05100609999999506 37.55090025999999881),100100186,2012,70,103000152,4254,리버하우스,127.0510061,37.55090026
Point (127.05539199999999767 37.54962199999999939),100100186,2012,71,103000111,4210,성수2가3동주민센터,127.055392,37.549622
Point (127.06218499999999949 37.54799500000000023),100100186,2012,72,103000113,4212,성동세무서앞,127.062185,37.547995
Point (127.06612900000000366 37.54811800000000233),100100186,2012,73,103000189,4293,우리은행화양동지점,127.066129,37.548118
Point (127.05568200000000445 37.53579299999999819),100100189,2014,1,103000183,4286,성수동차고지,127.055682,37.535793
Point (127.05748800000000642 37.53662299999999874),100100189,2014,2,103000104,4203,성수동진주타운,127.057488,37.536623
Point (127.05848799999999699 37.53650700000000029),100100189,2014,3,103000188,4291,성수두산위브아파트,127.058488,37.536507
Point (127.05998200000000509 37.53635599999999783),100100189,2014,4,103000106,4205,성덕정길입구,127.059982,37.536356
Point (127.06006569999999556 37.53643821000000003),100100189,2014,12,103000107,4206,성덕정길입구,127.0600657,37.53643821
Point (127.05851850000000525 37.53659214999999705),100100189,2014,13,103000185,4288,성수두산위브아파트,127.0585185,37.53659215
Point (127.05749230000000694 37.53675908999999677),100100189,2014,14,103000105,4204,성수동진주타운,127.0574923,37.53675909
Point (127.05492680000000405 37.53755206999999672),100100189,2014,15,103000103,4202,뚝도시장구길,127.0549268,37.53755207
Point (127.05225889999999822 37.53805092000000343),100100189,2014,16,103000101,4200,서울숲지구대앞,127.0522589,37.53805092
Point (127.04950999999999794 37.53833000000000197),100100189,2014,17,103000073,4172,성수1가새마을금고,127.04951,37.53833
Point (127.0461389999999966 37.53936999999999813),100100189,2014,18,103000074,4173,천주교성수동성당앞,127.046139,37.53937
Point (127.04420260000000553 37.54097723999999658),100100189,2014,19,103000076,4175,뚝도아리수정수센터.수도박물관,127.0442026,37.54097724
Point (127.04469199999999773 37.54295799999999872),100100189,2014,20,103000078,4177,서울숲역2번출구,127.044692,37.542958
Point (127.04489610000000255 37.54607196999999985),100100189,2014,21,103000080,4179,성동구민종합체육센터,127.0448961,37.54607197
Point (127.04445660000000373 37.54951635999999837),100100189,2014,22,103000086,4185,성동교남단.서울숲리버포레,127.0444566,37.54951636
Point (127.04396280000000274 37.55050751999999648),100100189,2014,47,103000087,4186,성동교남단.서울숲리버포레,127.0439628,37.55050752
Point (127.04453300000000127 37.54649299999999812),100100189,2014,48,103000081,4180,성동구민종합체육센터,127.044533,37.546493
Point (127.04450099999999679 37.5430640000000011),100100189,2014,49,103000079,4178,서울숲역3번출구,127.044501,37.543064
Point (127.04398999999999376 37.54140699999999953),100100189,2014,50,103000077,4176,뚝도아리수정수센터.수도박물관,127.04399,37.541407
Point (127.04607400000000439 37.53930553000000003),100100189,2014,51,103000075,4174,천주교성수동성당앞,127.046074,37.53930553
Point (127.04954999999999643 37.53822000000000259),100100189,2014,52,103000072,4171,성수1가1동새마을금고,127.04955,37.53822
Point (127.05234199999999589 37.53786800000000312),100100189,2014,53,103000100,4199,서울숲지구대앞,127.052342,37.537868
Point (127.05526999999999305 37.53719199999999745),100100189,2014,54,103000102,4201,뚝도시장구길,127.05527,37.537192
Point (127.05748800000000642 37.53662299999999874),100100189,2014,55,103000104,4203,성수동진주타운,127.057488,37.536623
Point (127.05848799999999699 37.53650700000000029),100100189,2014,56,103000188,4291,성수두산위브아파트,127.058488,37.536507
Point (127.05998200000000509 37.53635599999999783),100100189,2014,57,103000106,4205,성덕정길입구,127.059982,37.536356
Point (127.06006569999999556 37.53643821000000003),100100189,2014,65,103000107,4206,성덕정길입구,127.0600657,37.53643821
Point (127.05851850000000525 37.53659214999999705),100100189,2014,66,103000185,4288,성수두산위브아파트,127.0585185,37.53659215
Point (127.05749230000000694 37.53675908999999677),100100189,2014,67,103000105,4204,성수동진주타운,127.0574923,37.53675909
Point (127.06236199999999315 37.54279499999999814),100100522,2016,31,103900214,4257,성수사거리,127.062362,37.542795
Point (127.05383000000000493 37.54542000000000002),100100522,2016,32,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.04927000000000703 37.54679999999999751),100100522,2016,33,103000137,4239,뚝섬역4번출구,127.04927,37.5468
Point (127.04684600000000216 37.54757500000000192),100100522,2016,34,103000135,4237,뚝섬역2번출구,127.046846,37.547575
Point (127.04445660000000373 37.54951635999999837),100100522,2016,35,103000086,4185,성동교남단.서울숲리버포레,127.0444566,37.54951636
Point (127.04396280000000274 37.55050751999999648),100100522,2016,99,103000087,4186,성동교남단.서울숲리버포레,127.0439628,37.55050752
Point (127.04550600000000316 37.54769600000000196),100100522,2016,100,103000134,4236,뚝섬역8번출구,127.045506,37.547696
Point (127.04927200000000198 37.54648199999999747),100100522,2016,101,103000136,4238,뚝섬역5번출구,127.049272,37.546482
Point (127.05458199999999636 37.54478799999999694),100100522,2016,102,103900215,4253,성수역4번출구,127.054582,37.544788
Point (127.06235200000000418 37.54256199999999666),100100522,2016,103,103900213,4256,성수사거리,127.062352,37.542562
Point (127.06433730000000537 37.54823912999999891),100100199,2222,19,103000114,4213,성동세무서,127.0643373,37.54823913
Point (127.05683700000000158 37.54934800000000195),100100199,2222,20,103000112,4211,제인병원,127.056837,37.549348
Point (127.05478200000000299 37.55023742000000198),100100199,2222,21,103000167,4269,성수2가3동주민센터,127.054782,37.55023742
Point (127.05069050000000175 37.55123019999999912),100100199,2222,22,103000153,4255,리버하우스,127.0506905,37.5512302
Point (127.04666199999999776 37.55174800000000346),100100199,2222,23,103000089,4188,상원,127.046662,37.551748
Point (127.04604999999999393 37.55143999999999949),100100199,2222,47,103000088,4187,상원,127.04605,37.55144
Point (127.05100609999999506 37.55090025999999881),100100199,2222,48,103000152,4254,리버하우스,127.0510061,37.55090026
Point (127.05539199999999767 37.54962199999999939),100100199,2222,49,103000111,4210,성수2가3동주민센터,127.055392,37.549622
Point (127.06218499999999949 37.54799500000000023),100100199,2222,50,103000113,4212,성동세무서앞,127.062185,37.547995
Point (127.06612900000000366 37.54811800000000233),100100199,2222,51,103000189,4293,우리은행화양동지점,127.066129,37.548118
Point (127.05568200000000445 37.53579299999999819),100100201,2224,1,103000183,4286,성수동차고지,127.055682,37.535793
Point (127.05492680000000405 37.53755206999999672),100100201,2224,2,103000103,4202,뚝도시장구길,127.0549268,37.53755207
Point (127.05225889999999822 37.53805092000000343),100100201,2224,3,103000101,4200,서울숲지구대앞,127.0522589,37.53805092
Point (127.04950999999999794 37.53833000000000197),100100201,2224,4,103000073,4172,성수1가새마을금고,127.04951,37.53833
Point (127.0461389999999966 37.53936999999999813),100100201,2224,5,103000074,4173,천주교성수동성당앞,127.046139,37.53937
Point (127.04420260000000553 37.54097723999999658),100100201,2224,6,103000076,4175,뚝도아리수정수센터.수도박물관,127.0442026,37.54097724
Point (127.04469199999999773 37.54295799999999872),100100201,2224,7,103000078,4177,서울숲역2번출구,127.044692,37.542958
Point (127.04489610000000255 37.54607196999999985),100100201,2224,8,103000080,4179,성동구민종합체육센터,127.0448961,37.54607197
Point (127.04550600000000316 37.54769600000000196),100100201,2224,9,103000134,4236,뚝섬역8번출구,127.045506,37.547696
Point (127.04927200000000198 37.54648199999999747),100100201,2224,10,103000136,4238,뚝섬역5번출구,127.049272,37.546482
Point (127.05383000000000493 37.54542000000000002),100100201,2224,11,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.05002589999999429 37.54576984999999922),100100201,2224,12,103000140,4242,SK테크노빌딩앞,127.0500259,37.54576985
Point (127.04921290000000056 37.54339130000000324),100100201,2224,13,103000142,4244,경동초등학교입구,127.0492129,37.5433913
Point (127.04817500000000052 37.54091700000000031),100100201,2224,14,103000144,4246,경일초등학교앞,127.048175,37.540917
Point (127.05031499999999767 37.53997242999999884),100100201,2224,15,103000082,4181,성원중학교후문,127.050315,37.53997243
Point (127.05342650000000049 37.53909394000000077),100100201,2224,16,103000098,4197,성원중.성수2가제1동주민센터,127.0534265,37.53909394
